City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cabo san lucas,22.8909,-109.9124,301.32,26,0,4.12,MX,1739053154
1,tiksi,71.6872,128.8694,249.61,91,59,5.84,RU,1739053435
2,jamestown,42.097,-79.2353,271.49,59,100,4.63,US,1739053436
3,hobyo,5.3505,48.5268,296.53,81,79,4.6,SO,1739053437
4,yellowknife,62.456,-114.3525,247.27,83,75,5.66,CA,1739053193
5,waitangi,-43.9535,-176.5597,286.72,78,1,4.93,NZ,1739053440
6,macapa,0.0389,-51.0664,299.14,94,75,3.09,BR,1739053267
7,mata-utu,-13.2816,-176.1745,302.18,74,6,7.18,WF,1739053444
8,sibolga,1.7427,98.7792,297.21,88,68,1.76,ID,1739053447
9,udachny,66.4167,112.4,253.58,91,98,5.64,RU,1739053448
10,moab,38.5733,-109.5498,286.75,26,4,2.15,US,1739053449
11,gorontalo,0.5412,123.0595,296.47,96,99,1.86,ID,1739053451
12,bethel,41.3712,-73.414,273.49,54,100,1.34,US,1739053452
13,lebu,-37.6167,-73.65,290.33,72,20,8.41,CL,1739053453
14,boca suno,-0.7167,-77.1333,297.71,88,99,0.87,EC,1739053454
15,kapuskasing,49.4169,-82.4331,261.2,72,100,3.09,CA,1739053456
16,tortoli,39.9256,9.6572,284.34,74,64,0.89,IT,1739053457
17,happy valley-goose bay,53.3168,-60.3315,260.32,66,75,5.14,CA,1739053458
18,adamstown,-25.066,-130.1015,299.03,76,82,5.48,PN,1739053459
19,boone,39.0334,-92.3335,277.62,58,18,6.32,US,1739053461
20,edinburgh of the seven seas,-37.0676,-12.3116,292.44,93,94,13.79,SH,1739053462
21,blackmans bay,-43.0167,147.3167,288.0,75,100,2.01,AU,1739053463
22,phan rang-thap cham,11.5667,108.9833,292.97,74,83,3.5,VN,1739053464
23,trujillo,-8.116,-79.03,296.13,88,75,4.63,PE,1739053205
24,bantay,17.5847,120.3892,296.33,67,89,7.03,PH,1739053466
25,moissala,8.3404,17.7663,299.66,22,7,0.61,TD,1739053467
26,port-aux-francais,-49.35,70.2167,279.62,85,83,12.68,TF,1739053468
27,portland,45.5234,-122.6762,280.05,90,100,0.89,US,1739052959
28,uturoa,-16.7333,-151.4333,301.05,68,6,3.29,PF,1739053470
29,luna,10.9667,123.2333,298.49,89,42,5.48,PH,1739053471
30,margaret river,-33.95,115.0667,293.13,79,95,4.84,AU,1739053472
31,hawaiian paradise park,19.5933,-154.9731,298.88,68,0,4.63,US,1739053473
32,utrik,11.2278,169.8474,299.43,75,32,6.45,MH,1739053475
33,sinop,41.7711,34.8709,271.53,99,99,1.16,TR,1739053476
34,kingscliff,-28.2667,153.5667,299.23,73,38,3.6,AU,1739053477
35,machico,32.7,-16.7667,291.5,68,75,5.14,PT,1739053478
36,puerto padre,21.195,-76.6028,299.74,62,0,5.63,CU,1739053479
37,ta`u,-14.2336,-169.5144,301.87,73,17,7.25,AS,1739053480
38,port elizabeth,-33.918,25.5701,293.88,84,0,1.79,ZA,1739053201
39,tazovsky,67.4667,78.7,269.31,90,100,13.56,RU,1739053482
40,anadyr,64.75,177.4833,256.43,84,100,0.0,RU,1739053483
41,kerikeri,-35.2268,173.9474,294.07,63,100,3.19,NZ,1739053484
42,ternate,0.8,127.4,299.92,81,100,3.63,ID,1739053485
43,isafjordur,66.0755,-23.124,268.64,87,91,4.43,IS,1739053486
44,pagar alam,-4.0167,103.2667,293.14,99,99,0.23,ID,1739053487
45,pahrump,36.2083,-115.9839,288.99,20,93,0.89,US,1739053489
46,myrina,39.8797,25.0742,276.73,65,75,8.75,GR,1739053490
47,hamilton,39.1834,-84.5333,280.27,94,100,2.06,US,1739053457
48,tam ky,15.5667,108.4833,292.61,86,100,5.74,VN,1739053492
49,grytviken,-54.2811,-36.5092,274.68,72,37,4.89,GS,1739053493
50,nadi,-17.8,177.4167,303.15,74,40,3.09,FJ,1739053494
51,badger,64.8,-147.5333,259.25,84,0,2.57,US,1739053495
52,larache,35.1932,-6.1557,287.85,87,1,2.77,MA,1739053496
53,bandarbeyla,9.4942,50.8122,295.87,79,29,4.9,SO,1739053497
54,ribeira grande,38.5167,-28.7,286.37,88,75,8.75,PT,1739053498
55,hermanus,-34.4187,19.2345,291.93,71,86,4.75,ZA,1739053501
56,chinde,26.8212,87.7095,286.81,57,4,2.97,NP,1739053503
57,baruun-urt,46.6806,113.2792,247.68,99,40,1.92,MN,1739053504
58,surabaya,-7.2492,112.7508,299.27,89,20,1.54,ID,1739053505
59,atafu village,-8.5421,-172.5159,301.25,77,77,7.2,TK,1739053507
60,lihue,21.9789,-159.3672,298.56,78,0,2.57,US,1739053509
61,perryton,36.4,-100.8027,281.11,36,4,4.63,US,1739053510
62,madang,-5.2246,145.7966,297.81,93,100,3.75,PG,1739053511
63,nuuk,64.1835,-51.7216,266.49,68,75,8.23,GL,1739053512
64,ilulissat,69.2167,-51.1,258.16,47,75,3.09,GL,1739053513
65,albany,42.6001,-73.9662,271.73,57,100,0.45,US,1739053236
66,san patricio,28.017,-97.5169,302.12,60,0,6.74,US,1739053515
67,selfoss,63.9331,-20.9971,269.64,79,71,2.22,IS,1739053516
68,taltal,-25.4,-70.4833,295.09,78,35,2.91,CL,1739053517
69,mont-dore,-22.2833,166.5833,299.26,99,100,1.52,NC,1739053519
70,puerto natales,-51.7236,-72.4875,285.4,54,40,11.83,CL,1739053521
71,tyup,42.7276,78.3648,265.78,67,86,2.57,KG,1739053522
72,egilsstadir,65.2653,-14.3948,271.1,80,0,1.03,IS,1739053523
73,whitehorse,60.7161,-135.0538,262.65,83,20,1.03,CA,1739053524
74,west island,-12.1568,96.8225,301.14,78,92,6.69,CC,1739053525
75,kitimat,54.0524,-128.6534,270.32,65,89,0.74,CA,1739053526
76,chingirlau,51.095,54.0814,259.19,93,5,2.48,KZ,1739053528
77,bredasdorp,-34.5322,20.0403,293.06,67,99,5.16,ZA,1739053529
78,sitka,57.0531,-135.33,277.09,75,75,1.54,US,1739053530
79,ghadamis,30.1337,9.5007,282.74,52,0,1.0,LY,1739053531
80,birsk,55.4211,55.5428,254.41,100,99,1.92,RU,1739053532
81,ocean city,39.2776,-74.5746,273.15,79,100,0.45,US,1739053534
82,turkmenbasy,40.0222,52.9552,268.58,74,0,4.12,TM,1739053535
83,rapid city,44.0805,-103.231,267.89,60,0,5.14,US,1739053450
84,mingguang,32.7802,117.9638,268.79,23,0,1.13,CN,1739053537
85,avarua,-21.2078,-159.775,303.18,74,75,2.06,CK,1739053538
86,san antonio de pale,-1.4014,5.6325,300.65,82,16,5.26,GQ,1739053539
87,geraldton,-28.7667,114.6,297.38,73,100,3.09,AU,1739053540
88,saint-philippe,-21.3585,55.7679,300.02,77,45,3.61,RE,1739053541
89,college,64.8569,-147.8028,259.3,79,0,2.57,US,1739053542
